DISCOVERY_DATE,LATITUDE,LONGITUDE,FIRE_YEAR
2455335.5,36.76694444,-121.3030556,2010
2455355.5,36.77694444,-121.3111111,2010
2455359.5,36.85611111,-121.3811111,2010
2455361.5,36.81805555,-121.3911111,2010
2455388.5,36.88305555,-121.5619444,2010
2455406.5,36.93611111,-121.3880556,2010
2455450.5,36.75805555,-121.5030556,2010
2455271.5,36.81805555,-121.3911111,2010
2455317.5,36.88305555,-121.5619444,2010
2455370.5,35.95305555,-120.8669444,2010
2455380.5,36.80694444,-121.7119444,2010
2455380.5,36.26194444,-121.1788889,2010
2455422.5,36.89611111,-121.4269444,2010
2455439.5,36.82694444,-121.3819444,2010
2455496.5,36.60888888,-121.9311111,2010
2455225.5,36.61194444,-119.5338889,2010
2455238.5,36.76111111,-120.3819444,2010
2455259.5,36.48888888,-119.8269444,2010
2455275.5,36.555,-119.795,2010
2455282.5,36.35611111,-120.2088889,2010
2455282.5,36.85111111,-120.5630556,2010
2455288.5,36.97194444,-120.6088889,2010
2455302.5,36.70805555,-119.6638889,2010
2455332.5,36.82305555,-119.6261111,2010
2455332.5,36.13805555,-120.1561111,2010
2455334.5,36.85111111,-120.5630556,2010
2455335.5,36.79,-120.3738889,2010
2455335.5,36.85194444,-119.6261111,2010
2455335.5,36.67805555,-119.7861111,2010
2455336.5,36.20388888,-120.0988889,2010
2455336.5,36.56194444,-119.7169444,2010
2455336.5,36.19388888,-120.3730556,2010
2455337.5,36.66305555,-119.755,2010
2455338.5,36.71805555,-119.755,2010
2455373.5,36.81305555,-119.625,2010
2455348.5,36.705,-119.3761111,2010
2455348.5,36.57611111,-119.6469444,2010
2455349.5,36.56805555,-119.9530556,2010
2455350.5,36.72388888,-119.5830556,2010
2455351.5,36.75694444,-120.3888889,2010
2455351.5,36.67194444,-120.5369444,2010
2455351.5,36.82388888,-119.5738889,2010
2455351.5,36.85111111,-120.5630556,2010
2455352.5,36.725,-119.57,2010
2455352.5,36.75,-119.5919444,2010
2455353.5,36.57611111,-119.6469444,2010
2455304.5,36.71305555,-119.76,2010
2455304.5,36.67805555,-119.7861111,2010
2455315.5,36.72,-119.7269444,2010
2455317.5,36.67805555,-119.7861111,2010
2455318.5,36.68805555,-119.5561111,2010
2455319.5,36.95305555,-120.6280556,2010
2455321.5,36.54694444,-119.5961111,2010
2455323.5,36.67,-119.7369444,2010
2455324.5,36.72194444,-119.7269444,2010
2455326.5,36.42305555,-119.8780556,2010
2455327.5,36.53111111,-120.4861111,2010
2455328.5,36.75611111,-120.3861111,2010
